93.1,86,63,78.09,90.43,81.6
86.3,74.2,20,77.35,88,80.9
83.1,67.8,106,83.29,86.58,80.51
82.7,67.1,8,74.67,86.6,79.12
91.4,74.7,54,75.72,90.68,78.97
83.1,70.6,30,79.79,88.91,78.64
86.3,73.2,56,80.47,84.26,78.57
78.4,58.1,9,66.61,80.15,78.37
84.2,73.1,12,7436,84.48,77.49
88.9,73.4,50,76.41,88,77.38
78，7,66.4,92,77.75,82.03,76.96
79.6,62.4,78,65.78,78.14,75.96
84.5,72.5,60,72.35,80.59,75.46
79.8,65.7,79,82.4,87.22,75.01
86.6,66.4,52,73.14,85.06,72.84
78.5,62.5,16,64.01,83.4,70.6
71.3,38.4,123,45.07,70.24,66.48
84.2,69.1,18,71.05,84.6,65.45
80.5,65.4,40,67.69,82.3,65.22
71.9,67,3,50.52,83.24,65.01
82.3,59.1,115,53.61,73.98,64.78
80.5,63.1,107,69.93,81.26,64.31
72.1,65.6,37,51.89,74.18,63.79
80.7,78.1,101,55.07,79.04,63.57
83.1,71.4,103,56.84,78,63.47
78.1,60.6,40,58.99,77.28,62.71
72.2,59.1,2,55.47,83.78,62.49
64.5,51.1,131,63.94,64.41,62.28
76.5,56.1,76,55.78,72.24,62.2
78.1,69.3,96,45.05,72.95,61.92
82.7,63.4,23,52.97,78.9,60.7
79.8,67.3,22,55.03,73.59,59.69
81.8,61,112,49.SS,79.84,59.3
84,65,33,59.31,74.23,59.22
79.1,58,53,58.26,77.02,58.58
70.6,59.3,98,43.71,70.84,58.46
77.9,65.7,43,44.02,73.7,57.65
83.4,73.3,117,70.28,77.67,57.49
72.8,55.3,130,6б.бб,68.63,57.47
84.4,69.3,65,58.54,66.58,57.42
77,67.4,58,50.08,70.28,57.18
64.7,44.3,122,50.48,71.09,55.98
65,57.3,126,51.07,73.29,54.56
74.1,58.2,82,49.01,79.69,52.87
68.7,41.3,21,47.6,70.72,51.7
55.5,47.1,94,24.64,42.25,51.49
70.3,45.9,80,47.75,60.13,51.32
55.1,47,48,41.72,66.06,50.97
63.9,47.9,93,36.19,58.34,50.83
79.2,62.2,10,52.83,69.54,49.88
70.8,51.3,28,32.07,58.89,49.66
62.8,42.3,39,40.83,63.73,49.52
69,51.4,105,36.99,62.49,47.25
73.9,59,73,38.17,58.5,46.96
66.2,44.6,66,44.36,65.85,46.92
65,42.3,69,43.23,63.67,45.88
65.1,51.3,47,27.44,48.98,45.32
77.3,56.4,57,46.6,67.37,45.05
58.8,43.1,70,39.43,45.83,44.78
69,50.8,124,53.51,70.52,44.73
69.3,47.8,87,49.54,59.25,43.41
53.8,41.7,44,35.44,51.24,43.23
53.9,41,125,33.39,63.97,43.2
62.3,36.4,90,27.91,46.1,41.78
59.4,54.6,26,25.76,36.73,39.34
56.1,39.6,120,32.42,43.66,38.17
58.7,48,72,34.58,51.42,37.5
72.1,68.2,14,37,50.21,31.44
60.3,48.3,95,3123,53.58,30.57
